File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,45.060581909202675
00:09:34.084.mp4,0,1,45.62489017384214
00:17:10.535.mp4,0,0,46.36550176522344
00:12:19.952.mp4,0,1,45.45714047865498
00:09:38.088.mp4,2,0,45.57504656724185
00:15:44.934.mp4,1,1,46.11125278238577
00:12:29.397.mp4,1,4,45.99184127049468
00:11:21.904.mp4,1,1,45.91341257615761
00:10:39.642.mp4,1,0,45.022913358338734
00:01:56.787.mp4,1,0,46.51402404504621
00:10:57.095.mp4,1,1,46.459029177039
00:00:54.431.mp4,0,1,46.2928442356121
00:11:40.728.mp4,1,1,46.6698121593582
00:02:06.019.mp4,0,1,46.0373225655247
00:01:18.718.mp4,0,1,46.33358351371082
00:00:40.515.mp4,0,1,46.09832989874011
00:01:08.637.mp4,1,0,46.10902952196979
00:03:14.557.mp4,2,0,45.81589883562818
00:03:24.590.mp4,0,2,45.374882876459445
00:10:18.376.mp4,0,1,45.94649116855508
00:21:04.004.mp4,1,0,45.97930620296442
00:14:57.864.mp4,0,1,46.04808593063067
00:01:43.464.mp4,0,1,46.49554339826494
00:09:14.543.mp4,1,1,46.348091926923146
00:00:44.976.mp4,1,0,45.96491742285237
00:20:31.154.mp4,1,1,45.6320095199132
00:10:31.171.mp4,1,2,46.11338992625344
00:00:30.442.mp4,1,0,46.47420214106255
00:02:45.437.mp4,2,0,46.03619726016342
00:01:35.018.mp4,1,0,46.046427653417965
00:02:56.377.mp4,0,2,46.09124119845766
00:07:23.982.mp4,0,2,46.217773016904914
00:07:13.094.mp4,1,0,45.86674264954095
00:13:57.166.mp4,0,1,45.72561691554127
00:01:33.260.mp4,1,0,45.897400163708376
00:01:46.723.mp4,0,1,45.749340495742885
00:12:35.997.mp4,1,0,44.88937653409563
00:02:09.862.mp4,1,0,45.183513383842005
00:08:16.887.mp4,3,0,46.51442421123484
00:06:41.309.mp4,0,1,46.13329849646807
00:06:29.647.mp4,1,0,46.186018724311296
00:03:56.751.mp4,3,0,46.39243805852069
00:03:57.024.mp4,0,2,45.758541961381916
00:08:29.506.mp4,0,3,46.023981098660144
00:04:09.367.mp4,0,3,45.648494022493594
00:01:18.633.mp4,0,1,45.62404671178347
00:03:45.470.mp4,1,0,46.1861090901038
00:02:22.882.mp4,0,1,46.21843751335446
00:20:47.501.mp4,1,0,45.286871192096164
00:04:41.671.mp4,0,4,45.70948653845251
00:17:09.138.mp4,1,1,46.00080705079482
00:15:30.421.mp4,1,1,46.055292140470065
00:01:06.501.mp4,1,0,46.30171689426415
00:04:18.881.mp4,2,0,46.1940407692052
00:04:33.174.mp4,0,3,46.06398008695456
00:04:28.936.mp4,4,0,46.243213602396885
00:05:42.581.mp4,0,4,45.740999026290474
00:05:28.371.mp4,3,0,45.95482471208186
00:02:56.135.mp4,2,0,45.9195246266328
00:03:12.339.mp4,0,2,45.809821896010426
00:10:06.540.mp4,4,6,45.919128248201325
00:16:51.490.mp4,0,1,46.01809109956952
00:07:29.492.mp4,9,1,46.07257955790692
00:09:56.904.mp4,1,1,45.717379253021576
00:10:27.030.mp4,6,6,46.07066828669508
00:12:52.070.mp4,5,4,46.04753158933734
00:12:21.225.mp4,1,0,45.98309585471973
00:10:54.742.mp4,3,7,45.91006737009802
00:16:21.036.mp4,1,0,45.871620355929274
00:07:53.511.mp4,0,8,46.078594515052565
00:14:41.820.mp4,0,1,46.318158435506696
00:09:19.676.mp4,0,10,46.30885150320663
00:08:51.004.mp4,7,1,46.0062438138387
00:20:19.787.mp4,1,0,46.13351843524167
00:17:57.644.mp4,1,6,46.19152421525878
00:14:54.399.mp4,2,6,46.418956902
00:19:27.559.mp4,9,6,46.41602169644934
00:16:54.613.mp4,1,10,46.49159068836778
