3,497,140,708,712
13,493,138,707,712
19,499,143,706,711
42,604,464,972,726
43,591,425,959,724
44,594,413,953,724
45,601,388,945,722
46,589,370,931,722
47,595,339,932,717
48,610,318,915,716
49,612,307,913,715
50,612,294,904,715
51,616,277,912,717
52,619,267,910,716
53,623,257,905,714
54,628,250,901,715
55,634,229,896,718
56,635,215,893,720
57,635,202,892,722
58,634,181,890,723
59,638,167,886,723
60,637,152,882,720
61,633,142,882,719
62,632,133,878,715
63,635,109,874,708
64,628,105,872,703
65,628,105,872,702
66,632,90,868,676
67,626,87,865,703
68,627,84,856,694
69,627,81,851,685
70,624,75,852,670
71,624,42,839,648
72,623,37,840,579
73,621,28,841,568
74,618,21,839,568
75,618,7,838,553
76,617,4,835,544
77,617,4,833,543
78,611,2,830,539
79,609,2,828,540
80,611,2,827,540
81,614,2,829,547
82,618,-1,826,546
83,622,0,826,532
84,630,0,823,523
85,634,-1,824,509
86,635,-2,825,502
87,640,8,831,459
88,642,11,833,436
89,644,0,823,424
90,644,0,823,424
91,652,-1,829,415
92,656,-1,831,411
93,654,-2,829,411
94,654,-3,829,410
95,654,0,822,414
96,653,0,822,415
97,651,0,823,415
98,646,-1,815,406
99,644,0,796,314
100,644,1,796,318
101,643,0,793,317
102,637,0,791,313
103,630,-2,804,301
104,635,-4,795,296
105,630,-8,794,293
106,626,-10,792,292
107,628,-12,789,285
108,630,-12,787,283
109,631,-7,788,270
110,624,-13,787,281
111,630,-20,782,274
112,634,-7,784,277
113,641,-8,785,274
114,644,-8,787,270
115,658,-16,788,256
116,663,-6,789,271
117,664,-9,786,276
118,662,-19,790,275
119,659,-19,788,280
120,649,-16,788,269
121,645,-13,798,264
134,654,4,806,293
135,649,0,806,303
136,651,0,802,309
137,657,-1,797,315
138,655,1,792,316
139,655,1,792,316
140,645,3,795,314
141,644,5,794,309
142,635,4,794,327
143,621,0,800,421
144,619,0,798,415
145,614,0,797,420
146,611,0,800,434
147,608,0,802,431
148,610,0,805,427
149,609,0,804,426
150,610,-1,803,436
151,602,5,807,461
152,601,1,806,487
153,599,-1,810,504
154,599,3,810,515
155,598,0,812,534
156,602,2,815,537
157,604,1,818,540
158,604,3,818,536
159,605,6,822,537
160,606,7,820,540
161,603,13,823,544
162,606,17,824,543
163,603,18,825,552
164,603,18,825,552
165,600,24,829,585
166,602,37,825,640
167,600,49,833,688
168,597,70,831,673
169,598,69,831,704
170,593,91,820,705
171,584,100,827,690
172,587,103,817,708
173,580,108,821,705
174,574,120,821,708
175,574,126,828,719
176,562,135,822,702
177,572,129,827,718
178,559,160,832,715
179,564,159,833,719
180,559,176,836,727
181,562,191,839,724
182,567,204,838,717
183,567,245,849,715
184,571,258,852,715
185,573,274,848,721
186,575,297,859,719
187,573,312,865,719
188,567,320,867,717
189,573,313,865,719
190,564,349,885,724
191,559,366,890,718
192,564,387,893,717
193,558,410,896,719
194,560,459,906,720
195,543,483,904,720
196,633,504,899,727
197,624,531,883,720
198,624,531,883,720
199,624,531,883,720
208,486,138,702,715
214,486,138,700,711
